,0
2144,1:18:29 paritosh and Boyz devil laugh's in background ️
2145,"56:30 is it scripted?
01:06:24
01:13:18"
2146,1:24:35 Ashneer Sir go to big boss house  for #Mudda
2147,Ashneer is biggest promotion of your channel!
2148,Really nice vedio
2149,Good founder in the india
2150,"Good conservation but question should be improved, I think the guy asking he his not clear what is asking."
2151,Jindgi Me peheli baar.... Mene kisi ka interview pura dekha he..bhai 
2152,Great
2153,Awesome  person . Only speak point to point. No crap.  Sidhe dhandhe ke baat per ata hu type dialogue
2154,really best con.!!
2155,
2156,"SOO MANY VIEWS 
IN SUCH A LESS TIME"
2157,Raj realign that wall painting to the centre.... It will look symmetrical then.
2158,Ashneer ji hum toh Shark Tank apke wajah se hi dekhte tha !
2159,Why he's not talking about the recent fake invoice controversy carried by him and his wife?
2160,Watch the podcast in 1.75x.
2161,I learned new things — No 
2162,Thanks raaj
2163,Bohot sahi Banda h... Truly
2164,Dhanda Samjhna Hai Toh Ashneer Bhai Se Samjho. Though he is muufaat no doubt but whatever he say everything have a logic. 
2165,"I always liked him because he is me, and i prefer hindi lang over english .. no wonder i resemble."
2166,Netflix one year subscription available for 2 screen in 1250 rs
2167,Anchor is really lame compare to the guest. This discussion can really go into some other direction with the kind of knowledge and vision Ashneer carries.
2168,Are bhai abhi dekha tha 50k tha....achanak se 500k ke paar view...Ashneer bhai ki takaat
2169,"Please clip this - ""How to Say No to People"""
2170,Sir please change the thumbnail of this video . It looks bad.
2171,Dhandhaa op
2172,Bhot sahi banda hai bhai
2173,Why are you using screen split? Its working as a distraction
2174,Tu ye sab bnd krde brbaad  Ho jayega. He really was raw
2175,Ashneer taunting Namita @1:00:00
2176,"Yes sahi main, bahut sahi Banda hai."
2177,Ashneer Grover is India's answer to US's Mark Cuban :P
2178,"Kya mene sahi suna?
750cr mang ra hai ashneer "
2179,Best shark
2180,Bharat pe owner looks so khadoos full of ego type i dont know why
2181,Call Piyush and Aman also 
2182,He is best yr
2183,1:03:03 xD
2184,Bhai Ashneer ne bhahot time Diya  aaoko !!!!....... lucky  we ...lol
2185,This shark has a separate fanbase
2186,Nice.
2187,gautam gambhir of shark tank.
2188,Raj bhai ap intervew samne walle ka le raho ho or bta apne bare zyada rhe ho pls improve the quallity of taking interview in less time taking more infiomation but after that good work
2189,Nicest vedio
2190,kitna paisa liya ASHNEER ne aapke show pe aane ko
2191,59:00 was for namita
2192,"Ashneer looks like jethala 
I mean jethalal"
2193,It is my longest video on YouTube
2194,bohot mast  hai yen
2195,Ashneer must have paid for this interview. Camflouaging current controversy
2196,I sooo bady wished ki beerbiceps ne ye interview liya hota....  no offence
2197,Yeh podcast ranveer allahbadia ko dikhani chaiye...bahut sugarcoat krta hai vo
2198,SuperLike
2199,"comments me इतना sara English kyu h bhai? 
Ashneer sir ne abhi bataya mujhe English samajh nehi ata...dhande ki baat hindi me karo."
2200,Is the anchor sleeping or ignoring his speech
2201,"""Merayckoo"" "
2202,What is ticket size?
2203,Doesn't he look like Kenneth Sebastian's older version?
2204,Raj bro your smile is so creepy!!
2205,Ye sab product k cibil reporting pe b thodi charcha Kari jae
2206,If you are having the Mike on the hoodie...then why unnecessary the stand Mike is for?
2207,33:00
2208,interviewer doesnt seem very confident when talking...Ashneer is not going to eat you....and you call yourself public speaker.
2209,Haha pagal hai ye banda sahi hai
2210,#Raw
2211,"Stop giving advices is an advice, a bullshit one at that. What’s the purpose of podcasting otherwise?"
2212,32:50
2213,ashneer-  sarir se doglapan nikalnewala yantra.
2214,22:00
2215,"Ashneer is a real shark,he doesn,t fake any thing. jo h woh h"
2216,Bhai Amitabh bachan due to name but lamba chalogye
2217,All because of GST deptt his fraudulent wrong doings fake invoices fake payments to firms of his wife's brother firms in sonepat came into notice . The demand raised by gst deptt was without any appeal was deposited by Bharat pe . This data was shared by income tax and sebi n all and when find out all were bogus firms. So soon he would deemed guilty of his work
2218,11:30
2219,You still don’t speak English correctly.. but that’s not a problem at all. The problem is you are trying to be someone you are not.
2220,Tumko paisa bana hai tho kya india US ho ho jayee.. India is india and far better than US.. Love 🇮🇳... Dont compare india with US
2221,Peeyush bansal best
2222,This is over confident ...Bharat pe..kya h..paytm phone pe..or ye tu tu tu bhai ..roadies nahi h
2223,"bhai tu interview kr rha h , ya apni suna rha h"
2224,Apni tariff karle. Ghamanda
2225,तर्को बनियो से क्या दिक्कत ह बे
2226,Nykaa ipo
2227,53:50 lip sink
2228,Abhi he download kr Lia pos pay bkc
2229,Piyush and ye spactales wale dekhe lag rhe hai.
2230,gum phir ke sab baniagiri hai
2231,FUCKING 2 MILLIONS VIEWS.........
2232,Wasn't going to watch this. 2 PEAS IN A POD brought me here
2233,Scam
2234,Raj shamani host karna seekhiye
2235,Plz hindi main bolo yarr
2236,"bhai bachpan se kon pita hai yeh bata, bhai tere se nahi hone wala isliye me tere is video se out hoon"
2237,USA me basi khana jyada Khate h
2238,No phar. Maaa is harmed here
2239,Dhande ki language hindi
2240,"Sir, are your "" Figuring Out "" Merchandise available? I Love them "
2241,Well done ashneer sir and well said ki you don't wanted to become Indian version of American shark
2242,Lovedddd it !!
2243,"This was a very good conversation. DELIVERY COST ZERO OR MINIMAL OR BIGGER TICKET SIZE IS WHAT I PICK. 

ALSO I SAW TWO WORD TO WORD COPIED COMMENTS WHICH MAKES ME THINK YOU PAID PEOPLE TO COMMENT."
2244,When i saw him first time i hated him and now I kinda love him......yaar sahi banda hai.
2245,"Ias officers, entrepreneurs, doctors, engineers, administrators, scientists, researchers, groundbreaking beureucrats should be India's celebrities and not the filmstars and others.."
2246,22:22 Damn truth on face
2247,Ashneer sir
2248,"""Dhande ki asli language Hindi hai"" - 100% true"
2249,Fully clear thought process
2250,Ashneer ️
2251,Maja aagya ashneer grover 
2252,Great man.
2253,"Just coz of 'Ashneer Grover'
This video is going to get a lot of views"
2254,They are the true celebrities. Forget actors and their tantrums.. learn from them.
2255,He is so clear out. damn!
2256,We might like him we might hate him.....but we just NEED him.....
2257,Ashneer being ashneer in this show
2258,"8:54 When parents treated his sister unfaiy due to Ashneer performance
Sister to Parents:Ye sb doglapan hai "
2259,"Dil se Comment nikla h.."" phaad conversation"" "
2260,14:20 
2261,My favourite shark..I inspired  
2262,Best video on YouTube
2263,Watch this video in 1.5x and thanks me later:-)
2264,Kisi book se bhi jyada iss bande se sikhne ko he 
2265,"This Raj guy speaks for India at UN?? And this is the level of conversation? Feels left out if hes not drinking, really?

And Ashneer can take PR lessons for Nirav Modi, Mallya etc."
2266,"If he is not in second season, I am not watching it."
2267,Har banda tavi aage badhega jab khud pe honest hoga. Same thing what sportsperson like MS Dhoni har ek interview me bolta hai. We can't use our time without knowing ourselves.
2268,Thank you
2269,Couldn't skip a single second
2270,Also my favourite shark is Mr. Aahneer grover
2271,@58:42 great answer!
2272,He is super cool 
2273,Subtitles english please
2274,"If those 5 sharks were countries, Ashneer would be CHINA"
2275,i love ashneer becoz he never sugercoat anything
2276,
2277,Kabhi kabhi lagta hai shark tank new businesses/entrepreneur Kay liye nahi par judge Kay liye banagaya tha shark tank aane key baad sab judge ka free promotion ho gaya
2278,"You better prepare for taking  interview boss, totally irrelevant you wore throughout 1.25.41 .
On Other hand 
Ashneers was a treat to listen."
2279,My fav  btw i just downloaded 12% club
2280,
2281,"Raj, do a show with Tanmay Bhat...
He's a man with great intellectuality..."
2282,Pwc would be in a better position to judge Mr grover.
2283,"1:01:20 I disagree here. Actually in usa, they sugarcoat more than any other  country. Honey, sweety etc"
2284,How much money did you give to asheer for this episode?
2285,I don't think u r in right path yar tu bakwas hai my favourite line 
2286,"Sidhi bat no bakwas
Well said"
2287,Ashneer sir op
2288,"Paheli bar iss channel ko subscribe karne ka fayda hua 
Maja aa aagaya aesa content lao ."
2289,"Please ask sensible questions, Raj. You are coming across a newbie while asking baseless questions and nodding in every answer"
2290,Awesome ash
2291,Bahut sahi bnda hai ye!
2292,Couldn't have guessed he is such a fraud. Was actually a fan earlier
2293,Please do vjdeos in English as well
2294,I think Postpe is inspired from Paytm Postpaid
2295,Tafri maarne jana h bahar indian parents ko..so true
2296,I would say.....bahut sahi banda hai
2297,Ashneer sir ab best shark ho aur mere favorite shark ho. Seedhe baat no bakwaas
2298,Best video
2299,"49:50
IND Money hai na wo company?"
2300,Ashneer pe Fida hogaye
2301,"I know he sounds rude but he says it on face.
If you'll go to meet investers vo issi tone me baat karenge yaa peeth pichhe bakwaas karenge ""Kaha kaha se chale aate hai""
Let's not comment on his words just because we feel he didn't respect others on the show.
Doglapan dunia me har jagh hai "
2302,These are the people we should look up to.. not celebs!! This is new india..
2303,Kya banda hai yaar ye
2304,When was this shot?
2305,"Aaj ashneer ne mera dil jeet liya, maine kabhi ashneer ko judge ni kra tha shows ke baisis pe bs ek kharab baat ye lgi thi when he said to one pitcher that tu hisaab lga le per day maine 20 cr ka dhanda kia h.......khud ko bada mt dikhao......else he is superb.....coz mai bhi straight forward hu.....psnd aay na aay apke upr h"
2306,Ashneer is boasting about PostPe!! Looks like doesn't check ratings and reviews on Play Store!!!!
2307,Abe tum interview kar lo yaar why are you comparing everything that guests say with your life’s incidents
2308,Ashneer sir ne shi bolo hindi me hi dhandha hota hai.. Mujko bhi Hindi aur Tamil hi samj aata hai..
2309,We have heard his audio and the language he is using in that is SHAMEFUL.........he even threaten that person 'tera encounter hoga tere Ghr k saamne '.................SHAMEFUL!
2310,Shamani do it in English. Please
2311,Doglapan bro 
2312,Plz make with piyush bansal
2313,Yeh sab doglapan he  comment of the year 
2314,Very big fan
2315,"I don’t think you’re on the right path - Mujhe nahi lagta tum sahi disha mein jaa rahe ho! 
Bakwas kam kar raha hai rude hai! Isko straightforward nahi bol sakte."
2316,Host na bolta toh hi sahi tha 
2317,Kitna Rs/- mai promotion kiya?
2318,Ashneer is such a fab person
2319,1:02:03 reason why main bhi Hindi mein bolta hu aur prefer krta hu
2320,"Maine jo paise lagaye hai Vijay pe, woh toh dub gaye yaar."
2321,Bharat pay is not founded by ashneer it is founded by gujrati man
2322,Just didn't like the interview. Beerbiceps would have done a much  better job.
2323,You are not on right path Vs Tu bakwas kar raha hai
2324,Gulshan Grover jaisa dekte hai aur sweet bhi hai
2325,Thumbnail copied by beer bysepts
2326,Piyush bansal ke saath interview karo
2327,"I wish to watch this interview, but the host uses lot of f word, can any one tell, did the host use any f word in this video?"
2328,Next podcast Anupam mittal ka lena
2329,Ashneer is so grounded wo hindi me baat kar rha hai aur tu english me ..showoff culture
2330,He is so rich as per google 21300 crore rupees but He is taking 8-10 lakh per episode. While salman khan takes 12 crore Per episodes  understand this. They are there just for the publicity and money.
